Project,Version,S-WordCount,S-LineCount,S-Density,S-ParaCount,S-FunCalls,S-VarCount,S-RepWords,S-ComPer,S-MaxDepth,S-BlockCount,S-CycCom,D-AvgD,D-AvgInD,D-AvgOutD,D-FaultyD,D-FaultyInD,D-FaultyOutD,D-DiDiameter,D-UndiDiameter,D-Avg-Closeness,D-AvgInCloseness,D-AvgOutCloseness,D-FaultyCloseness,D-WeiEdgeSum,D-#AboveAvgD,D-#AboveAvgInD,D-#AboveAvgOutD,D-#DiCircles,D-#WeakGroups,T-#T,T-#PT,T-#FT,T-%PT,T-%FT,T-#E,T-#VE,T-#NVE,T-#V,T-Spa,T-Cov,T-CovPT,T-CovFT,T-AvgVE,T-AvgVEPT,T-AvgVEFT,T-#VEP^FT,T-%VEP^FT,B-RepairActions,B-RepairPatterns,B-RepairTools,B-Files,B-Methods,B-Classes,B-LinesAdd,B-LinesRem,B-LinesMod,B-SizeInLines,B-Chunks,B-SpreadAllLines,B-SpreadCodeOnly,L-Rank,L-10,L-5-10,L-5,L-1,L-Inverse,L-3,L-4
Chart,14,25.6276892932912,6.820145448767,3.81715931246198,1.2555926897716,2.98709200998595,1.25056717049848,3.55659510880166,0.612283474753081,1.49084646488643,2.28701925877189,2.85660222579522,3.0513,1.5256,1.5256,1,1,0,7,12,0.2147,0.0141,0.0146,0.1239,1.5256,21,22,23,0,1,491,487,4,0.9919,0.0081,930,647,283,26151,0.0573,0.6957,0.6785,0.0796,53.2607,53.3429,43.25,58,0.0896,2,3,2,2,4,2,12,0,0,12,4,518,243,3,1,1,1,2,0.333333333333333,1,1
Chart,15,25.6922890730056,6.82750119118515,3.82879530124404,1.25918007908855,2.99126355783735,1.25271026568176,3.56093935381329,0.611652598877148,1.49119067726177,2.28837758503325,2.8616167044534,2.7784,1.3892,1.3892,2.5,0.5,2,10,19,0.1407,0.0062,0.0073,0.0797,1.3892,65,37,48,0,2,198,197,1,0.9949,0.0051,1746,1021,725,23223,0.0672,0.5848,0.5848,0.1145,117.2879,116.868,200,200,0.1959,2,4,6,1,2,1,5,0,0,5,3,675,212,2,1,1,1,2,0.5,1,1
Chart,16,25.6922239688389,6.82750119118515,3.82880397366591,1.25918007908855,2.99119845367069,1.25271026568176,3.56093935381329,0.611652667371939,1.49119067726177,2.28837758503325,2.8616167044534,2.1739,1.087,1.087,1.5,1,0.5,6,8,0.3231,0.0539,0.0528,0.2952,1.087,1,4,9,0,1,22,14,8,0.6364,0.3636,64,47,17,266,0.1889,0.7344,0.7031,0.2344,12.0909,14.2143,8.375,13,0.2766,5,2,0,1,2,1,0,0,3,3,2,129,59,1,1,1,1,1,1,1,1
Chart,17,25.8035563560504,6.85328112394286,3.82612402930209,1.26211319620315,3.00600211194228,1.26052762842456,3.56777773660243,0.611312143648616,1.49324422909888,2.28911613855949,2.86660129219621,1.75,0.875,0.875,3,1,2,4,6,0.3698,0.1611,0.1873,0.4118,0.875,5,7,5,0,1,48,47,1,0.9792,0.0208,239,127,112,1145,0.0998,0.5314,0.5314,0.113,23.8542,23.7872,27,27,0.2126,5,0,4,1,1,1,1,0,1,2,1,0,0,1,1,1,1,1,1,1,1
Chart,18,25.8007360332573,6.85265530049096,3.8259656520483,1.26211319620314,3.00591564949169,1.26043704871441,3.5676006944417,0.611335843657304,1.49324834635843,2.28893909639875,2.86605781393534,2.6667,1.3333,1.3333,3.3333,2,1.3333,5,8,0.2891,0.044,0.0462,0.3365,1.3333,17,9,10,0,1,242,238,4,0.9835,0.0165,91,73,18,3898,0.177,0.8022,0.7582,0.2527,16.1074,16.1891,11.25,19,0.2603,9,4,2,2,3,2,10,2,1,13,6,19,9,1,1,1,1,1,1,1,1
Chart,19,25.7670617266575,6.84382008795457,3.82492875556934,1.26404053178122,2.99812625927438,1.25901841371301,3.56573593054995,0.611395256323142,1.49369896717755,2.28764812245914,2.86191871247591,3.0361,1.5181,1.5181,2.5,1,1.5,7,10,0.2474,0.0133,0.0166,0.281,1.5181,26,21,23,0,1,362,360,2,0.9945,0.0055,716,493,223,22427,0.0865,0.6885,0.6858,0.1131,61.953,61.8667,77.5,79,0.1602,3,3,1,1,2,1,6,0,0,6,2,275,117,1,1,1,1,1,1,1,1
Chart,20,26.0378480476196,6.90841507384541,3.83882467530138,1.27939162085176,3.03353308840558,1.28134702914876,3.57746938376366,0.610982336227371,1.49840435042183,2.3044894839797,2.89696959456083,1.7778,0.8889,0.8889,2,1,1,4,5,0.4097,0.1341,0.1721,0.5333,0.8889,4,8,4,0,1,284,283,1,0.9965,0.0035,102,83,19,3285,0.1134,0.8137,0.8137,0.0784,11.5669,11.5795,8,8,0.0964,2,2,1,1,1,1,0,0,1,1,1,0,0,5,1,1,1,2,0.2,2,2
Chart,21,26.1099372082726,6.92414630952484,3.84068336313633,1.28036765902183,3.04786192078818,1.28534159243797,3.58270594475287,0.610847494904774,1.49858799188899,2.30701889020788,2.90248722998288,2.0714,1.0357,1.0357,5,1,4,6,9,0.2831,0.0392,0.0518,0.3765,1.0357,7,1,6,0,1,14,13,1,0.9286,0.0714,132,86,46,481,0.2603,0.6515,0.6439,0.2045,34.3571,34.9231,27,26,0.3023,6,2,1,1,2,1,39,0,0,39,4,585,239,2,1,1,1,2,0.5,1,1
Chart,22,26.1014716208031,6.92182217765474,3.84064862420641,1.2804531296291,3.04677907505885,1.28458972727454,3.5819602573119,0.610816730560589,1.49831195671347,2.30640278958048,2.90083705129408,2.8,1.4,1.4,3.75,1.5,2.25,4,6,0.2459,0.0333,0.0337,0.2602,1.4,19,10,15,0,2,38,32,6,0.8421,0.1579,44,35,9,587,0.3511,0.7955,0.6136,0.6364,15.4474,15.8438,13.3333,20,0.5714,11,4,0,1,3,1,30,1,2,33,7,145,72,5,1,1,1,2,0.2,2,2
Chart,24,26.0372447517179,6.90438073124439,3.83876985836274,1.28023060854666,3.04293727940871,1.28335534028015,3.57057835321939,0.61066633956306,1.49706176845161,2.30206662092537,2.89155812628644,1.5,0.75,0.75,1,1,0,2,3,0.625,0.3363,0.3958,0.5,0.75,2,3,2,0,1,11,10,1,0.9091,0.0909,7,7,0,34,0.4416,1,0.8571,0.4286,3.0909,3.1,3,2,0.2857,2,3,3,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
Chart,25,26.0333420846428,6.89857074167707,3.84021751664639,1.27990637031232,3.04308733458725,1.27935724897535,3.56981781743764,0.610433782523075,1.49180554524456,2.29788946298821,2.8862726694153,3.6697,1.8349,1.8349,16,1,15,13,15,0.1786,0.0019,0.0026,0.2292,1.8349,185,190,159,4,1,10,6,4,0.6,0.4,1831,653,1178,3493,0.1908,0.3566,0.3517,0.2955,349.3,227,532.75,532,0.8147,7,5,7,1,2,1,12,0,2,14,6,226,185,4,1,1,1,2,0.25,2,1
Chart,26,25.9769955723511,6.88755307293982,3.84080145022581,1.27559057620078,3.04168983781868,1.27792546552743,3.55060149690053,0.610463853719872,1.48946721422166,2.29818227432703,2.87705358699573,3.7598,1.8799,1.8799,16,4,12,15,15,0.1611,0.0012,0.0012,0.1782,1.8799,298,316,268,34,1,540,518,22,0.9593,0.0407,3129,1791,1338,54073,0.032,0.5724,0.5491,0.3062,100.1352,82.8552,507,885,0.4941,1,2,6,1,1,1,2,0,0,2,2,5,5,10,1,2,2,2,0.1,2,2
Closure,1,32.0944400682346,9.18244543495891,3.65275057049346,1.36287481532636,4.09351858884763,1.11548459991793,4.20351697988888,0.219482449372187,1.63809018172328,2.37941832978741,3.68032792136689,3.7486,1.8743,1.8743,13,1,12,34,19,0.0955,0.0006,0.0007,0.1106,1.8743,537,530,554,91,5,374,366,8,0.9786,0.0214,5752,3837,1915,423743,0.197,0.6671,0.6629,0.4298,1133.0027,1130.3798,1253,2448,0.638,2,1,2,1,1,1,3,0,0,3,1,0,0,5,1,1,1,2,0.2,2,2
Closure,2,32.0818734880147,9.17836276832801,3.65295027512914,1.36275830546735,4.09359838016551,1.11513885742233,4.2027357174239,0.219507129923713,1.63796633455664,2.37902538596472,3.67813949088034,3.3568,1.6784,1.6784,2,1,1,24,20,0.1487,0.001,0.0013,0.1656,1.6784,289,292,316,74,1,6747,6746,1,0.9999,0.0001,4051,3251,800,4823387,0.1765,0.8025,0.8025,0.2046,714.8936,714.8767,829,829,0.255,3,2,1,1,1,1,4,0,0,4,3,3,1,1,1,1,1,1,1,1,1
Closure,3,32.0738292986281,9.17824373184187,3.65235855035773,1.36186276319718,4.09195460165827,1.1156102375245,4.20128512135785,0.219225390333391,1.63805416597114,2.37993189250472,3.67395845743689,3.8489,1.9244,1.9244,9.1667,1.3333,7.8333,35,18,0.0868,0.0007,0.0009,0.0968,1.9244,491,480,532,134,6,358,355,3,0.9916,0.0084,4378,2834,1544,367039,0.2342,0.6473,0.6446,0.2206,1025.2486,1025.8225,957.3333,954,0.3366,10,2,2,1,2,2,6,0,2,8,3,218,119,8,1,2,2,2,0.125,2,2
Closure,4,32.0763004826609,9.1789597396311,3.65270490194503,1.36217484455146,4.09198955385914,1.11590330579231,4.20133163754886,0.2192387044366,1.63822016046259,2.38013002545541,3.6740320701224,4.2107,2.1054,2.1054,7,1,6,30,19,0.1441,0.0007,0.001,0.145,2.1054,391,240,333,173,2,6877,6874,3,0.9996,0.0004,4142,3426,716,4844834,0.1701,0.8271,0.8271,0.2685,704.4982,704.3419,1062.6667,1112,0.3246,2,3,0,1,1,1,0,0,2,2,2,11,9,28,2,3,2,2,0.035714285714286,2,2
Closure,5,32.1808258428644,9.21119624585216,3.65383637595174,1.36315786042826,4.10273331218209,1.11977712567367,4.21404920927724,0.220099282689225,1.64140341333319,2.38413805465365,3.6849822853906,3.7011,1.8506,1.8506,19,1,18,38,20,0.1175,0.0009,0.0013,0.1527,1.8506,357,365,397,51,3,314,313,1,0.9968,0.0032,3821,2415,1406,280418,0.2337,0.632,0.6289,0.1918,893.051,893.5623,733,721,0.2986,3,1,3,1,1,1,3,0,0,3,1,0,0,18,2,3,2,2,0.055555555555556,2,2
Closure,6,32.134233290904,9.20006180751339,3.65323413691837,1.36243359868124,4.09465959612703,1.11927477059146,4.20617883159816,0.220002983340887,1.64124812478032,2.38315382295563,3.68084497993873,4.4345,2.2172,2.2172,7,2.5,4.5,33,19,0.1453,0.0007,0.0009,0.1648,2.2172,417,284,337,239,2,6664,6661,3,0.9995,0.0005,4132,3312,820,4709273,0.171,0.8015,0.8015,0.2633,706.6736,706.5537,973,1088,0.3285,2,2,0,1,2,1,0,8,0,8,4,36,20,41,2,3,2,2,0.024390243902439,2,2
Closure,7,32.1969423312583,9.22109686647969,3.64279781743503,1.35711333204746,4.09025190084584,1.12115405649474,4.20803540937843,0.220026249570496,1.64084047507655,2.38350040361101,3.68477143313804,3.2122,1.6061,1.6061,0,0,0,33,19,0.1197,0.0018,0.0019,0.0017,1.6061,144,161,189,26,2,6629,6627,2,0.9997,0.0003,3437,2733,704,4009429,0.176,0.7952,0.7952,0.133,604.8316,604.9015,373.5,457,0.1672,5,2,2,1,1,1,4,0,1,5,3,2,0,3,1,1,1,2,0.333333333333333,1,1
Closure,8,32.2010041653587,9.22892984921515,3.64416659370023,1.3550949980584,4.08651314707589,1.12232715186339,4.20930436185255,0.220572709435017,1.64108995128808,2.38496494854447,3.6873691745193,3.4478,1.7239,1.7239,8,1,7,36,17,0.1309,0.0011,0.0016,0.1592,1.7239,267,285,306,41,2,282,281,1,0.9965,0.0035,3693,2317,1376,255373,0.2452,0.6274,0.6242,0.1573,905.578,906.7331,581,569,0.2456,4,1,2,1,2,1,4,0,0,4,2,4,3,22,2,3,2,2,0.045454545454546,2,2
Closure,9,32.1975325612996,9.22800909525397,3.64404542658811,1.3550949980584,4.08620159286546,1.12228264411904,4.20907625966277,0.220587724444725,1.64108995128809,2.38483142531143,3.68723565128625,1.4286,0.7143,0.7143,0.5,0.5,0,2,4,0.3162,0.1714,0.1912,0.2293,0.7143,3,5,3,0,2,117,116,1,0.9915,0.0085,1071,644,427,33945,0.2709,0.6013,0.6013,0.0047,290.1282,292.5862,5,5,0.0078,5,1,0,1,2,2,1,0,1,2,2,64,43,2,1,1,1,2,0.5,1,1
Closure,10,32.2154958178849,9.23057429957033,3.64567959361258,1.35543957440663,4.09090231425015,1.12348808342325,4.20989305698996,0.220545927509372,1.64115462201881,2.3852160871239,3.68927336036956,3.4259,1.713,1.713,5,3,2,36,18,0.1279,0.0011,0.0015,0.144,1.713,272,286,319,51,2,6508,6507,1,0.9998,0.0002,3730,2933,797,4249915,0.1751,0.7863,0.7863,0.1622,653.0293,653.0367,605,605,0.2063,2,2,4,1,1,1,0,0,1,1,1,0,0,11,2,3,2,2,0.090909090909091,2,2
Closure,11,32.3540989511274,9.27269350922302,3.63975542750482,1.36137375143823,4.10392020961273,1.12890044235948,4.22533052752042,0.22160529096423,1.64433683311288,2.39210068155228,3.70967603946859,4.2751,2.1375,2.1375,12,1,11,32,19,0.1437,0.0008,0.0011,0.1777,2.1375,381,247,311,160,2,6577,6575,2,0.9997,0.0003,4040,3225,815,4633634,0.1744,0.7983,0.7983,0.2485,704.5209,704.436,983.5,1004,0.3113,3,1,0,1,1,1,0,2,0,2,1,0,0,85,2,3,2,2,0.011764705882353,2,2
Closure,12,32.3330688525821,9.26981049275958,3.63946941011111,1.36019931803928,4.09302128083045,1.12544240211628,4.22570906852209,0.221974575666137,1.6428256961866,2.39053100088757,3.71293087002666,3.847,1.9235,1.9235,1,1,0,34,18,0.0959,0.0007,0.001,0.0943,1.9235,471,460,510,127,5,351,350,1,0.9972,0.0028,4302,2778,1524,360190,0.2385,0.6457,0.643,0.2211,1026.1823,1026.3971,951,939,0.338,6,1,3,1,1,1,6,0,0,6,1,0,0,67,2,3,2,2,0.014925373134328,2,2
Closure,13,32.3381746546016,9.27248930460747,3.63926119854082,1.35986917802588,4.09450459163224,1.12582210657107,4.22644278570946,0.221926065838859,1.64308650674775,2.39122271887787,3.71488032809251,3.3735,1.6868,1.6868,0,0,0,32,19,0.0934,0.001,0.0011,0.001,1.6868,278,288,315,57,5,608,607,1,0.9984,0.0016,5222,3602,1620,541931,0.1707,0.6898,0.6879,0.3372,891.3339,889.9012,1761,1751,0.4861,1,2,2,1,1,1,1,1,0,2,2,1,1,238,2,3,2,2,0.004201680672269,2,2
Closure,14,32.3413076134237,9.27347287975175,3.63864521785722,1.35991555029138,4.09379155979037,1.12584550724081,4.22658369748087,0.222001948905106,1.64308759681266,2.39139261494124,3.71534931850741,4.0167,2.0083,2.0083,17,2,15,36,17,0.1389,0.0007,0.0009,0.181,2.0083,413,247,346,130,2,3336,3333,3,0.9991,0.0009,4308,3293,1015,3129733,0.2178,0.7644,0.7642,0.243,938.1694,938.5437,522.3333,1046,0.3176,2,3,3,1,1,1,0,0,1,1,1,0,0,79,2,3,2,2,0.012658227848101,2,2
Closure,15,32.3420311803775,9.27328925387361,3.6388642083629,1.36010172172027,4.09337901586163,1.12614767108103,4.22635738206659,0.222053314612909,1.64321413172708,2.39133868865133,3.71533078044907,3.6972,1.8486,1.8486,9,2,7,33,17,0.0952,0.0008,0.0011,0.1102,1.8486,419,420,450,111,5,334,333,1,0.997,0.003,4220,2713,1507,334068,0.237,0.6429,0.64,0.2249,1000.2036,1000.3574,949,937,0.3454,3,1,1,1,1,1,3,0,0,3,1,0,0,6,1,2,2,2,0.166666666666667,2,2
Closure,16,32.3410542620289,9.27335269807049,3.63866093320371,1.36012431541494,4.09331856107772,1.12606323931501,4.22625312318077,0.222044392162913,1.6431940996758,2.39137639604198,3.71579013434113,3.5064,1.7532,1.7532,3.3333,1,2.3333,39,17,0.1171,0.0009,0.0011,0.1284,1.7532,329,331,365,46,3,391,389,2,0.9949,0.0051,4621,3078,1543,431142,0.2386,0.6661,0.6657,0.3514,1102.665,1102.6118,1113,1622,0.527,8,1,2,1,3,2,6,0,3,9,5,296,217,4,1,1,1,2,0.25,2,1
Closure,17,32.3401925892348,9.2732378083646,3.63865200693418,1.36012431541494,4.09320367137183,1.12603451688854,4.22619567832783,0.222045242237878,1.6431940996758,2.39134767361551,3.71570396706172,4.3205,2.1602,2.1602,14,3,11,33,19,0.1444,0.0008,0.0011,0.1796,2.1602,389,251,317,132,2,6531,6530,1,0.9998,0.0002,3993,3185,808,4548735,0.1744,0.7976,0.7976,0.2557,696.4837,696.434,1021,1021,0.3206,5,2,2,1,1,1,4,0,1,5,2,1,0,180,2,3,2,2,0.005555555555556,2,2
Closure,18,32.3400413838173,9.27320908593815,3.63865087041464,1.36012431541494,4.09320367137184,1.12603451688854,4.22619567832783,0.222043669350013,1.6431940996758,2.39134767361551,3.71571453163238,3.4224,1.7112,1.7112,13,1,12,29,18,0.115,0.0009,0.001,0.1484,1.7112,318,316,359,40,3,6534,6533,1,0.9998,0.0002,4262,3411,851,4719327,0.1695,0.8003,0.8003,0.2426,722.2723,722.2246,1034,1034,0.3031,1,2,3,1,1,1,0,0,1,1,1,0,0,240,2,3,2,2,0.004166666666667,2,2
Closure,19,32.339731032404,9.27313746638123,3.63864796149085,1.36012431541494,4.09320367137183,1.12603451688854,4.22619567832783,0.22204446975729,1.6431940996758,2.39134767361551,3.71569065844674,3.6584,1.8292,1.8292,3,1,2,31,19,0.1619,0.0009,0.0012,0.188,1.8292,351,312,378,64,1,6528,6527,1,0.9998,0.0002,3968,3170,798,4472204,0.1727,0.7989,0.7989,0.2099,685.0803,685.0576,833,833,0.2628,1,1,1,1,1,1,2,0,0,2,2,1,0,24,2,3,2,2,0.041666666666667,2,2
Closure,20,32.3351358751468,9.27111166705826,3.63873485412091,1.36028280462394,4.09308918495242,1.12540725882972,4.2260585505471,0.222046691944021,1.642629713082,2.39077588376143,3.71552557067756,3.448,1.724,1.724,14,1,13,33,18,0.1305,0.0011,0.0015,0.1732,1.724,260,281,311,37,2,370,369,1,0.9973,0.0027,3745,2409,1336,304943,0.2201,0.6433,0.6414,0.1589,824.1703,824.7913,595,588,0.2441,2,3,2,1,1,1,1,0,1,2,1,0,0,18,2,3,2,2,0.055555555555556,2,2
Closure,21,32.3466098274728,9.27501641523204,3.63858432037067,1.36028280462394,4.09533591697857,1.12581575556175,4.22646704727913,0.222020999571135,1.64283396144802,2.39200137395751,3.71981478636384,3.6523,1.8261,1.8261,21,1,20,34,18,0.1172,0.001,0.0014,0.1389,1.8261,305,324,348,55,3,6522,6521,1,0.9998,0.0002,3841,3033,808,4358121,0.174,0.7896,0.7896,0.1848,668.2185,668.2121,710,710,0.2341,8,3,3,1,1,1,0,17,2,19,2,11,7,28,2,3,2,2,0.035714285714286,2,2
Closure,22,32.3518719103761,9.27561706667683,3.63863796028415,1.36028280462394,4.0973542133322,1.12602000392776,4.22707979237717,0.22201505810138,1.64283396144802,2.39240987068954,3.72165302165796,3.6523,1.8261,1.8261,22,1,21,34,18,0.1171,0.001,0.0014,0.1385,1.8261,305,324,347,55,3,6522,6521,1,0.9998,0.0002,3841,3033,808,4357817,0.174,0.7896,0.7896,0.1848,668.1719,668.1655,710,710,0.2341,8,4,3,1,1,1,0,24,2,26,5,12,8,28,2,3,2,2,0.035714285714286,2,2
Closure,23,32.4561431173779,9.29901429822878,3.6404807336211,1.36323319267038,4.10619275539855,1.12872984989656,4.23547192065065,0.22273396438447,1.64389931494872,2.39493422549339,3.7308183092237,3.2242,1.6121,1.6121,7,1,6,36,17,0.1254,0.0013,0.0018,0.1556,1.6121,215,212,266,29,2,373,372,1,0.9973,0.0027,3660,2325,1335,296262,0.217,0.6352,0.6352,0.1352,794.2681,795.0726,495,495,0.2129,5,2,0,1,1,1,6,0,1,7,2,1,1,1,1,1,1,1,1,1,1
Closure,24,32.4486614191579,9.30072504623949,3.63634524243941,1.36381833413665,4.10472908295464,1.12888364016311,4.23700050232481,0.222795047748665,1.64346730587893,2.39483577253702,3.72996281771022,3.5856,1.7928,1.7928,16,1,15,35,17,0.1326,0.0011,0.0016,0.1667,1.7928,273,279,317,43,2,381,380,1,0.9974,0.0026,3530,2275,1255,318519,0.2368,0.6445,0.6445,0.1578,836.0079,836.7421,557,557,0.2448,4,2,0,1,1,1,2,1,2,5,4,15,9,8,1,2,2,2,0.125,2,2
Closure,25,32.4600840396857,9.30387621365862,3.6365855079766,1.36373327058598,4.10737400408222,1.1298569142916,4.23799220533521,0.222560595272483,1.64415106038638,2.39576298018616,3.7311484191018,3.7462,1.8731,1.8731,11,1,10,30,19,0.1399,0.001,0.0012,0.1788,1.8731,327,326,353,62,2,2894,2893,1,0.9997,0.0003,3897,2942,955,2683026,0.2379,0.7549,0.7549,0.2071,927.0995,927.141,807,807,0.2743,5,0,0,1,1,1,2,4,0,6,4,22,18,17,2,3,2,2,0.058823529411765,2,2
